"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","D'Angelo Russell","Dal","*","G","30","26","19","26.1","17.4","60","0.717","120","0.508","112","0.295","0.476","0.511","10.2","2.3","4","0.5","0.1","1.9","12.5","14.2","16.5","9.6","101.8","112.6"
"","Jalen Smith","Chi","*","F-C","25.9","43","20.2","19.4","10.9","71","0.718","154","0.61","174","0.379","0.588","0.608","10.2","6.9","1.3","0.4","0.8","0.9","17.1","11.4","18.3","8.9","121.9","108.7"
"","Pelle Larsson","Mia","*","G","25","45","23.9","16.3","13","116","0.767","207","0.594","126","0.333","0.559","0.6","10.2","3.3","3.3","0.6","0.2","1.1","13.6","13.5","16.9","8","122.5","110.2"
"","Marvin Bagley III","Was","*","F","26.9","38","19.2","19","15.2","97","0.711","227","0.643","19","0.421","0.642","0.667","10.1","5.7","1.5","0.5","0.7","1.2","15.8","11.6","17.3","9.2","131.5","113.4"
"","Bub Carrington","Was","*","G","20.6","50","28.2","17.2","21.4","70","0.757","167","0.395","266","0.402","0.523","0.545","10.1","3.6","4.6","0.6","0.2","2.4","13.7","14.7","18.3","7.8","104.2","118.5"
"","Isaiah Stewart","Det","*","F-C","24.7","47","23.5","16.4","14","104","0.76","232","0.638","105","0.324","0.591","0.623","10.1","5.3","1.2","0.3","1.7","1.2","15.4","11.3","16.6","6.8","122.3","101.6"
"","Isaiah Collier","Uta","*","G","21.3","44","24.9","18.4","24","135","0.681","259","0.56","67","0.284","0.532","0.57","10","2.7","7.1","0.9","0.3","2.3","12.6","17.1","19.8","9.3","115","118"
"","Neemias Queta","Bos","*","C","26.6","49","25.3","14.7","13.9","112","0.67","317","0.647","5","0","0.637","0.653","9.9","8.4","1.5","0.9","1.3","1.1","18.3","11.4","19.8","7.9","135.9","101.9"
"","Zach Collins","Chi","*","F-C","28.2","10","18.4","19","13.5","20","0.7","43","0.651","21","0.429","0.648","0.666","9.7","5.6","1.5","0.2","0.4","1","15.3","11.2","16.8","9.4","128.4","110.3"
"","Isaiah Joe","Okc","*","G","26.6","43","20.7","17.4","8.2","67","0.866","58","0.586","244","0.398","0.594","0.629","9.7","2.5","1.4","0.6","0.2","0.6","12.2","11.1","13.6","6.3","124.2","105.1"
"","Bilal Coulibaly","Was","*","G","21.5","31","26.6","17.3","15.4","101","0.762","150","0.48","103","0.262","0.445","0.508","9.7","4.6","2.6","1.4","0.9","1.5","14.3","12.3","16.9","7.3","105.3","113.6"
"","Jakob Poeltl","Tor","*","C","30.3","21","25.3","14.5","20.6","47","0.596","127","0.693","0","0","0.693","0.691","9.7","7.7","2.1","0.8","0.5","1.6","17.4","11.9","19.6","8.5","128.6","102.1"
"","Maxime Raynaud","Sac","*","C","22.8","45","23.1","16.8","11.7","70","0.729","294","0.588","39","0.282","0.569","0.591","9.6","6.4","1","0.4","0.5","1","16","10.6","17","6.8","117.6","111.3"
"","Kyle Filipowski","Uta","*","C","22.3","51","22.4","18.1","15.5","113","0.69","251","0.558","129","0.341","0.542","0.57","9.6","6.6","2.1","0.7","0.4","1.4","16.3","11.7","18.3","9.1","114.2","110.3"
"","Landry Shamet","Nyk","*","G","28.9","27","21.1","16.1","6.1","44","0.75","50","0.48","136","0.434","0.605","0.628","9.6","1.9","1.4","0.5","0.2","0.4","11.4","10.9","12.8","5.6","131.7","114.2"
"","T.J. McConnell","Ind","*","G","33.9","38","17.1","23.9","12.2","15","0.933","278","0.558","38","0.316","0.547","0.558","9.5","2.2","4.8","1.2","0.2","1.2","11.7","14.3","16.5","10.9","117.7","112.5"
"","Jake LaRavia","Lal","*","F","24.3","50","27.1","14.9","13.3","104","0.74","189","0.598","175","0.326","0.545","0.578","9.5","4.1","2","1.4","0.5","1.1","13.6","11.5","15.6","6.3","119.2","111.7"
"","Marcus Smart","Lal","*","G","31.9","41","28.3","15.8","18.2","88","0.83","122","0.525","192","0.328","0.505","0.553","9.5","3","2.8","1.2","0.3","1.7","12.5","12.3","15.3","6.1","108.7","111.3"
"","Ziaire Williams","Bro","*","F","24.4","36","22.8","17.9","12.3","78","0.859","80","0.638","184","0.31","0.517","0.57","9.4","2.5","0.8","1.1","0.5","1","11.9","10.2","12.7","4.7","109.1","112.2"
"","Jordan Clarkson","Nyk","*","G","33.7","48","19.4","21.4","11.5","68","0.794","209","0.517","182","0.335","0.51","0.538","9.4","1.8","1.4","0.4","0.1","1.1","11.3","10.8","12.6","5.9","109.5","110.6"
"","Jordan Miller","Lac","*","G","26","30","19.8","18.9","15.5","77","0.792","122","0.615","63","0.365","0.592","0.64","9.3","3.3","1.6","0.8","0.2","1.1","12.6","10.9","14.2","7.4","123.2","115.7"
"","Corey Kispert","Was","","F","26.9","19","19.5","16.7","10.5","34","0.765","43","0.674","76","0.395","0.622","0.649","9.2","2.3","1.7","0.4","0.2","0.7","11.5","10.8","13.2","6.8","126.9","121.7"
"","Cam Whitmore","Was","*","F","21.6","21","16.9","23.7","9.6","31","0.742","113","0.54","56","0.286","0.503","0.528","9.2","2.8","0.7","0.7","0.4","0.9","12","9.9","12.7","6.2","105.1","118.5"
"","Christian Braun","Den","*","G","24.8","16","29.6","14.6","12.7","36","0.778","87","0.552","36","0.194","0.476","0.522","9.1","4.1","2.7","0.6","0.4","1.1","13.2","11.8","15.9","6.3","114.4","115.3"
"","Davion Mitchell","Mia","*","G","27.4","43","29","13.7","17.7","46","0.63","202","0.515","127","0.402","0.549","0.558","9.1","2.5","7.2","1.2","0.1","1.7","11.6","16.3","18.8","7.5","119.4","108.7"
"","Vit Krejci","Atl","","G","25.6","46","22.3","14.4","8.8","36","0.75","70","0.6","239","0.423","0.626","0.637","9","2.1","1.5","0.8","0.3","0.7","11.1","10.5","12.6","5.5","120.7","111"
"","Jonas Valanciunas","Den","*","C","33.8","40","14.6","25.4","15.8","79","0.785","238","0.597","17","0.294","0.586","0.623","9","5.3","1.4","0.2","0.7","1.2","14.3","10.4","15.7","11.1","121.2","101.1"
"","Herbert Jones","Nor","*","F","27.3","31","28.6","14.9","13","38","0.816","129","0.481","132","0.311","0.473","0.501","9","3.5","2.5","1.6","0.5","1.3","12.5","11.5","15.1","6","104.9","111.8"
"","Sam Hauser","Bos","*","F","28.2","50","24.1","14.8","6.6","12","0.917","52","0.538","330","0.388","0.576","0.582","9","3.8","1.4","0.6","0.3","0.5","12.8","10.4","14.2","6","123.9","112"
"","Svi Mykhailiuk","Uta","*","G-F","28.7","44","23.9","13.9","10.5","25","0.92","109","0.633","199","0.387","0.599","0.614","8.9","2.6","1.9","0.5","0.1","0.8","11.5","10.8","13.3","5.9","120","123.3"
"","Luguentz Dort","Okc","*","G","26.8","41","27.8","13.7","8.3","32","0.844","90","0.5","228","0.36","0.528","0.547","8.9","4","1.2","0.9","0.5","0.7","12.8","10","14","5","111.6","101.7"
"","Isaac Okoro","Chi","*","F-G","25","44","25.8","13.5","8.5","71","0.775","164","0.585","139","0.331","0.545","0.576","8.8","2.6","1.5","0.6","0.5","0.6","11.4","10.2","12.8","5","119.7","114"
"","Tristan da Silva","Orl","*","F","24.7","45","22.6","16.7","10.1","38","0.842","171","0.491","176","0.369","0.523","0.543","8.8","3.3","1.2","0.9","0.3","0.9","12.1","10","13.3","5.8","108","113"
"","Jordan Goodwin","Pho","*","G","27.3","49","21.9","18.4","11.3","38","0.711","189","0.466","211","0.355","0.501","0.514","8.7","4.8","2.2","1.5","0.2","1","13.6","11","15.8","8.2","114.2","107.7"
"","GG Jackson","Mem","*","F","21.1","30","17.8","19.5","12.9","47","0.745","112","0.634","90","0.3","0.552","0.579","8.6","3.4","1.1","0.7","0.6","1","12","9.7","13.1","7.1","109.3","108.5"
"","Jay Huff","Ind","*","C","28.5","52","19.5","17.2","10.8","53","0.83","123","0.732","224","0.321","0.571","0.594","8.5","3.8","1.3","0.5","2","0.8","12.3","9.7","13.5","7.1","116.1","108.2"
