"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","26.9","42","35.5","37.9","16.2","456","0.781","491","0.587","432","0.345","0.554","0.614","32.8","7.8","8.5","1.5","0.5","4.3","40.7","41.4","49.2","14.6","120.3","110.9"
"","Shai Gilgeous-Alexander","Okc","*","G","27.6","49","33.3","33.5","9.6","452","0.892","741","0.603","223","0.39","0.599","0.67","31.8","4.4","6.4","1.3","0.8","2.1","36.2","38.2","42.7","11.6","134.5","106"
"","Anthony Edwards","Min","*","G","24.5","43","35.5","31.5","11.2","321","0.794","530","0.555","361","0.404","0.576","0.62","29.8","5.3","3.7","1.3","0.8","2.6","35","33.5","38.8","9.4","120","112.1"
"","Jaylen Brown","Bos","*","G-F","29.3","47","34.3","36.9","14","334","0.769","780","0.531","280","0.357","0.532","0.574","29.5","7","4.7","1","0.4","3.7","36.5","34.2","41.2","11.5","113.4","107.7"
"","Nikola Jokic","Den","*","C","31","36","34.4","30.9","16.6","274","0.843","449","0.664","177","0.418","0.653","0.703","29.1","12.1","10.5","1.4","0.7","3.5","41.3","39.6","51.8","18","140.3","107.6"
"","Tyrese Maxey","Phi","*","G","25.3","49","38.8","28.9","10.1","284","0.887","622","0.532","432","0.384","0.55","0.599","28.8","4.1","6.9","2","0.8","2.4","32.9","35.7","39.8","9.6","123.2","113"
"","Donovan Mitchell","Cle","*","G","29.4","48","33.8","32.4","13","285","0.846","527","0.575","467","0.381","0.573","0.617","28.8","4.6","5.9","1.5","0.2","3.1","33.4","34.7","39.3","10.9","120.2","111.2"
"","Giannis Antetokounmpo","Mil","*","F","31.2","30","29.2","36.3","17","298","0.658","449","0.666","38","0.395","0.66","0.679","28","10","5.6","0.9","0.7","3.3","38","33.6","43.6","15.9","128.3","108.3"
"","Kawhi Leonard","Lac","*","F","34.6","38","32.8","32.9","9.9","234","0.919","475","0.558","264","0.386","0.566","0.624","27.7","6.2","3.7","2","0.6","2.1","33.9","31.4","37.6","10.5","123.4","114.1"
"","Stephen Curry","Gol","*","G","37.9","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.8","112.5"
"","Lauri Markkanen","Uta","*","F-C","28.7","38","35.2","27.8","7.2","252","0.889","437","0.556","296","0.361","0.55","0.611","27.1","6.9","2.2","1","0.5","1.5","34.1","29.3","36.2","8.5","123.2","121.3"
"","Jalen Brunson","Nyk","*","G","29.4","47","34.5","31","9.7","276","0.848","601","0.524","365","0.373","0.537","0.585","27.1","3.3","6.1","0.7","0.1","2.2","30.3","33.1","36.4","9.5","122.6","113.2"
"","Austin Reaves","Lal","*","G","27.7","25","34.3","29.1","17","214","0.869","216","0.63","183","0.372","0.596","0.671","26.5","5.2","5.9","1","0.2","3.3","31.7","32.4","37.6","10.9","127.1","114"
"","Joel Embiid","Phi","*","C-F","31.9","30","31.3","33.7","14.2","255","0.859","428","0.547","116","0.302","0.527","0.603","26.4","7.4","3.9","0.7","1.1","3","33.8","30.3","37.8","11.7","119.4","111.1"
"","Jock Landale","Atl","*","C","30.3","1","31.5","22.4","12.3","2","0.5","6","0.833","8","0.625","0.893","0.874","26","11","5","0","4","2","37","31","42","14.3","159.4","114.7"
"","Kevin Durant","Hou","*","F","37.4","47","36.6","27","14.5","287","0.885","579","0.558","267","0.404","0.573","0.629","26","5.3","4.4","0.9","0.9","3.1","31.4","30.5","35.8","9.3","123.9","111.7"
"","Jamal Murray","Den","*","G","29","47","35.8","28.7","11","234","0.88","533","0.522","352","0.432","0.572","0.616","25.9","4.3","7.5","1","0.4","2.3","30.2","33.4","37.7","10.5","124.8","117.6"
"","Deni Avdija","Por","*","F","25.1","44","34.6","29","18.9","419","0.8","455","0.534","281","0.356","0.534","0.609","25.5","7.2","6.7","0.8","0.6","3.9","32.7","32.2","39.3","12.4","119.8","111.3"
"","Devin Booker","Pho","*","G","29.3","41","34","31.4","15.4","330","0.864","530","0.517","224","0.313","0.503","0.58","25.4","4","6.2","0.9","0.3","3.3","29.5","31.7","35.7","10.1","117.4","111.9"
"","James Harden","Lac","*","G","36.5","44","35.4","31.3","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.6","115.3"
"","Cade Cunningham","Det","*","G","24.4","45","35","30.6","16.3","320","0.806","604","0.518","256","0.32","0.507","0.565","25.1","5.5","9.7","1.4","0.8","3.7","30.6","34.8","40.3","12.6","117.7","105"
"","Michael Porter Jr.","Bro","*","F","27.6","40","33.1","30.4","11.7","174","0.851","367","0.564","380","0.387","0.572","0.609","25.1","7.2","3.2","1.1","0.3","2.5","32.3","28.3","35.5","10.1","115.7","113.8"
"","Victor Wembanyama","San","*","F-C","22.1","37","29.1","32.1","14.2","264","0.811","423","0.57","180","0.367","0.564","0.622","24.2","11.1","2.8","0.9","2.7","2.7","35.3","26.9","38.1","12.5","119","100"
"","Keyonte George","Uta","*","G","22.3","47","34.4","27.7","16.8","338","0.893","458","0.517","318","0.377","0.537","0.614","24.2","3.9","6.6","1.1","0.3","3.3","28.1","30.8","34.7","9.9","118.3","120.6"
"","Pascal Siakam","Ind","*","F","31.9","49","33.9","29.1","10.6","292","0.685","667","0.522","239","0.372","0.531","0.562","23.7","6.8","4","1.1","0.5","2.2","30.5","27.7","34.5","10.2","111.9","112.8"
"","Jalen Johnson","Atl","*","F","24.1","48","35.6","27.1","16.8","263","0.776","602","0.556","226","0.354","0.55","0.59","23.2","10.6","8.2","1.2","0.5","3.5","33.9","31.4","42","14.2","116.6","110.5"
"","Norman Powell","Mia","*","G","32.7","44","30.8","27.3","10.9","246","0.846","398","0.54","318","0.393","0.562","0.615","23","3.6","2.6","1.2","0.2","2","26.7","25.6","29.3","7.8","116.5","110"
"","Ty Jerome","Mem","*","G-F","28.6","3","20.2","33.6","12.1","19","0.842","20","0.75","16","0.438","0.708","0.755","22.3","2.7","7","1","0","1.7","25","29.3","32","14.8","151.3","107.6"
"","Julius Randle","Min","*","F-C","31.2","53","33.5","26.5","14","333","0.823","588","0.56","251","0.323","0.537","0.596","22.2","6.9","5.4","1.1","0.2","2.6","29","27.6","34.5","11.2","121.6","108.2"
"","Trey Murphy III","Nor","*","F","25.6","50","35.9","23.1","10.3","190","0.895","392","0.582","426","0.378","0.574","0.615","22.2","5.8","3.7","1.5","0.3","1.9","28","25.9","31.7","8.7","122.3","117.1"
"","Brandon Ingram","Tor","*","F","28.4","51","34.2","27.4","12.6","233","0.837","631","0.515","258","0.368","0.526","0.57","22.2","5.9","3.7","0.8","0.8","2.5","28","25.9","31.8","9.2","110","111.9"
"","Franz Wagner","Orl","*","F","24.5","26","32.8","26.3","10.3","172","0.826","305","0.521","106","0.368","0.529","0.593","22.2","6.1","3.6","1.1","0.3","1.8","28.3","25.8","31.9","9.6","121","111.3"
"","Anfernee Simons","Chi","*","G","26.7","1","32","23.7","16.7","0","0","2","1","13","0.462","0.733","0.733","22","2","3","0","1","3","24","25","27","6.4","113.4","122.5"
"","Tyler Herro","Mia","*","G","26","11","31.7","25.1","8.6","41","0.902","114","0.579","67","0.358","0.564","0.605","21.9","4.7","2.7","1","0.5","1.5","26.6","24.6","29.4","8.2","117.2","110.6"
"","LeBron James","Lal","*","F","41.1","33","33.1","28.2","15.4","181","0.74","385","0.579","149","0.315","0.55","0.587","21.8","5.6","6.7","1.1","0.6","2.9","27.5","28.6","34.2","11.3","116.8","115.4"
"","Zion Williamson","Nor","*","F","25.6","38","29.7","27.4","14.2","309","0.709","515","0.584","3","0","0.581","0.628","21.6","6.2","3.4","1","0.6","2.3","27.8","25","31.2","10.4","123.5","115.1"
"","Paolo Banchero","Orl","*","F","23.2","40","34.3","26.9","15","316","0.766","482","0.512","145","0.297","0.497","0.565","21.6","8.6","4.8","0.7","0.7","2.8","30.2","26.5","35","11.2","112.6","111"
"","Shaedon Sharpe","Por","*","G","22.7","48","30","30.3","14.5","194","0.784","550","0.518","297","0.34","0.515","0.55","21.4","4.4","2.6","1.4","0.1","3","25.8","24","28.4","8.3","105.7","113.2"
"","Dillon Brooks","Pho","*","G-F","30","46","31.1","28.3","9.6","179","0.855","483","0.493","313","0.358","0.51","0.552","21","3.7","1.8","1.1","0.2","1.8","24.7","22.7","26.4","6.7","110","107.9"
"","Alperen Sengun","Hou","*","C","23.5","43","33.9","27.3","16.5","257","0.689","619","0.523","83","0.289","0.513","0.55","20.9","9.4","6.2","1.4","1","3.2","30.3","27.1","36.5","12.6","116.6","104.7"
"","Cooper Flagg","Dal","*","F","19.1","47","34.2","25","12","214","0.804","590","0.539","168","0.298","0.518","0.562","20.4","6.6","4.2","1.2","0.8","2.2","27","24.6","31.2","9.7","112.1","109.9"
"","Anthony Davis","Dal","*","F-C","32.9","20","31.3","27.6","10.9","81","0.728","297","0.535","37","0.27","0.521","0.551","20.4","11.1","2.8","1.1","1.7","2.1","31.4","23.2","34.2","11","111.9","106.8"
"","Nickeil Alexander-Walker","Atl","*","G","27.4","51","33","24.6","11.1","197","0.878","387","0.509","416","0.377","0.539","0.583","20.4","3.5","3.5","1.2","0.6","2","23.8","23.9","27.4","7.6","112.5","115.4"
"","Brandon Miller","Cha","*","F","23.2","35","30","29","13.8","134","0.881","296","0.493","277","0.365","0.519","0.564","20.4","4.6","3.3","1","0.9","2.6","25","23.7","28.3","9","111.1","109.2"
"","Jimmy Butler","Gol","*","F","36.4","38","31.1","23.2","11.5","287","0.864","376","0.553","85","0.376","0.555","0.647","20","5.6","4.9","1.4","0.2","1.6","25.6","24.9","30.4","10.5","137.2","114.1"
"","Karl-Anthony Towns","Nyk","*","C-F","30.2","48","31.5","25.8","15","293","0.853","456","0.518","219","0.356","0.523","0.595","19.9","11.9","2.9","0.9","0.6","2.5","31.8","22.8","34.7","11.2","121.1","101.6"
"","De'Aaron Fox","San","*","G","28.1","42","32.5","25.1","14","162","0.79","393","0.557","245","0.351","0.545","0.581","19.6","4","6.3","1.2","0.3","2.5","23.6","25.9","29.9","9.7","116.6","108.6"
"","Ja Morant","Mem","*","G","26.5","20","28.4","32.3","18","117","0.897","237","0.473","85","0.235","0.441","0.521","19.5","3.3","8.1","1","0.3","3.6","22.7","27.5","30.8","11.3","107.1","112.7"
"","Trae Young","Atl","*","G","27.4","10","28","28.8","16.1","73","0.863","76","0.5","59","0.305","0.481","0.577","19.3","1.5","8.9","1","0.1","2.6","20.8","28.2","29.7","9.1","120.2","115.5"
"","Scottie Barnes","Tor","*","F-G","24.5","52","34.5","24","15.5","214","0.813","613","0.555","160","0.306","0.535","0.577","19.3","8.3","5.6","1.3","1.5","2.7","27.6","24.9","33.2","11.2","115.7","107.1"
"","Zach LaVine","Sac","*","G","30.9","39","31.4","23.9","11.9","142","0.88","293","0.556","254","0.39","0.569","0.614","19.2","2.8","2.3","0.7","0.3","1.9","21.9","21.5","24.2","6.3","114.3","119.6"
"","Jaren Jackson Jr.","Mem","*","F-C","26.4","45","30.7","25.5","13","187","0.797","450","0.531","220","0.359","0.534","0.574","19.2","5.8","1.9","1","1.5","2.2","25","21.1","26.9","7.8","107.9","105.2"
"","Desmond Bane","Orl","*","G","27.6","50","33.9","23.4","12.4","182","0.934","502","0.52","253","0.356","0.525","0.576","19.2","4.3","4.3","0.9","0.5","2.1","23.5","23.5","27.8","8.4","116","110.8"
"","LaMelo Ball","Cha","*","G","24.5","42","27.5","32","15.7","109","0.881","310","0.455","389","0.365","0.506","0.538","19.1","4.9","7.5","1.1","0.2","3.1","24.1","26.6","31.5","12.9","113.2","107.6"
"","DeMar DeRozan","Sac","*","G-F","36.5","53","32.7","22.1","8.1","297","0.862","592","0.537","111","0.342","0.533","0.603","19","3.2","3.9","1.2","0.2","1.2","22.2","22.9","26.1","7.6","125.2","119"
"","Jerami Grant","Por","*","F","31.9","36","29","25","13.9","228","0.833","254","0.488","215","0.372","0.52","0.595","18.8","3.5","2.4","0.7","0.7","2.1","22.3","21.3","24.8","7.5","118.5","112.6"
"","CJ McCollum","Was","","G","34.4","35","30.9","24.4","9.9","102","0.804","285","0.505","244","0.393","0.544","0.573","18.8","3.5","3.6","0.7","0.3","1.7","22.3","22.4","25.9","8","115","120.5"
"","Kon Knueppel","Cha","*","G-F","20.5","51","32","22.2","14.3","145","0.897","287","0.568","396","0.424","0.608","0.643","18.8","5.5","3.5","0.7","0.2","2.2","24.3","22.4","27.8","8.9","123.6","111.9"
"","Coby White","Chi","*","G","26","29","29.1","27.5","18.3","154","0.805","185","0.541","208","0.346","0.529","0.586","18.6","3.7","4.7","0.7","0.1","3","22.3","23.3","27","9.4","108.5","113.8"
"","Josh Giddey","Chi","*","G","23.3","34","32.1","25.9","20.5","178","0.775","309","0.511","161","0.366","0.524","0.575","18.6","8.6","8.8","0.9","0.3","3.6","27.1","27.4","35.9","14","114.9","114"
"","RJ Barrett","Tor","*","F-G","25.7","29","29.4","26","10.6","134","0.701","260","0.562","151","0.338","0.541","0.573","18.6","5.2","3.5","0.8","0.3","1.7","23.8","22.1","27.3","9.5","114","108.8"
"","Miles Bridges","Cha","*","F","27.9","51","32.4","22.9","8.8","184","0.837","412","0.539","335","0.331","0.52","0.562","18.3","6.1","3.5","0.5","0.5","1.4","24.4","21.7","27.9","9","119.7","112.8"
"","Bam Adebayo","Mia","*","C-F","28.6","45","31.2","23.7","10.9","205","0.79","442","0.489","211","0.346","0.498","0.547","18.1","9.8","2.7","1","0.7","1.8","27.9","20.8","30.6","10","112.1","108.2"
"","Darius Garland","Cle","*","G","26","26","30.5","25.4","16.2","79","0.861","213","0.521","164","0.36","0.529","0.567","18","2.4","6.9","0.8","0.1","2.8","20.4","24.9","27.3","8.8","114","115.1"
"","Evan Mobley","Cle","*","C","24.6","42","33.4","21.9","13.4","192","0.635","410","0.593","158","0.304","0.555","0.576","17.9","8.8","4","0.9","2","2.1","26.7","22","30.7","10.3","117.7","109.1"
"","CJ McCollum","Atl","*","G","34.4","13","27.8","27.2","9.9","33","0.667","118","0.534","81","0.346","0.528","0.543","17.8","3.2","3.3","0.7","0.7","1.7","21.1","21.2","24.4","8.2","105.5","116.3"
"","Bennedict Mathurin","Ind","*","G-F","23.6","28","31.8","23.1","15.2","146","0.884","202","0.48","156","0.372","0.514","0.589","17.8","5.4","2.3","0.6","0.1","2.3","23.1","20","25.4","7.6","109.9","112.7"
"","Amen Thompson","Hou","*","G-F","23","50","37.2","20.4","15.6","240","0.783","596","0.545","85","0.2","0.515","0.565","17.8","7.6","5.5","1.4","0.6","2.5","25.4","23.3","30.9","9.7","121.3","110.6"
"","Aaron Gordon","Den","*","F","30.4","23","27.9","23.6","8.1","109","0.789","168","0.577","105","0.4","0.586","0.632","17.7","6.2","2.5","0.7","0.2","1","23.8","20.2","26.3","9.3","128.9","114"
"","Jalen Duren","Det","*","C","22.2","43","27.9","22.6","14.8","227","0.731","473","0.63","0","0","0.63","0.665","17.7","10.5","1.7","0.9","0.8","1.9","28.3","19.5","30","9.8","130.3","100.3"
"","Chet Holmgren","Okc","*","C-F","23.8","45","29.2","22.3","12","180","0.772","363","0.661","165","0.358","0.622","0.655","17.7","8.6","1.6","0.5","2","1.6","26.2","19.3","27.8","8.6","125.5","100.3"
"","Andrew Nembhard","Ind","*","G-F","26.1","41","32.2","23.5","14.9","171","0.813","346","0.494","214","0.364","0.514","0.563","17.4","2.9","7.5","0.9","0.2","2.4","20.4","25","27.9","9","115.2","115.9"
"","Derrick White","Bos","*","G","31.6","50","34.3","23.3","10.7","138","0.899","328","0.476","445","0.324","0.481","0.521","17.4","4.5","5.5","1.2","1.4","1.9","21.8","22.9","27.4","8.8","115.9","114"
"","Alexandre Sarr","Was","*","C","20.8","40","28.3","25.4","10.9","132","0.697","444","0.538","118","0.339","0.532","0.556","17.3","7.7","2.8","0.8","2.1","1.7","24.9","20","27.7","10.2","114","116.4"
"","Payton Pritchard","Bos","*","G","28","51","32.7","21.2","7.4","101","0.861","349","0.57","368","0.359","0.554","0.579","17.3","4.2","5.3","0.7","0.1","1.1","21.5","22.5","26.7","8.9","128.7","115.3"
"","Kevin Porter Jr.","Mil","*","G-F","25.8","25","33.5","24.4","19.5","104","0.856","219","0.511","115","0.33","0.506","0.562","17.1","5.2","7.5","2.3","0.4","3.2","22.2","24.6","29.8","10.4","112","112.8"
"","Kristaps Porzingis","Atl","*","F-C","30.5","17","24.3","26.5","7.1","81","0.84","124","0.524","86","0.36","0.531","0.592","17.1","5.1","2.7","0.5","1.3","0.9","22.2","19.8","24.9","10.2","122.7","106.3"
"","Immanuel Quickley","Tor","*","G","26.6","50","32.5","21.6","11","159","0.805","319","0.517","351","0.376","0.542","0.577","17.1","4.4","6.1","1.3","0.1","1.7","21.5","23.2","27.6","9.5","119.9","111"
"","Grayson Allen","Pho","*","G","30.3","35","30.3","22.9","11.1","101","0.842","154","0.519","317","0.369","0.542","0.578","17","3","4","1.4","0.3","1.7","20.1","21","24.1","7.8","119.5","111.7"
"","Ryan Rollins","Mil","*","G","23.6","50","32","23.7","14.3","103","0.757","402","0.507","294","0.408","0.552","0.571","16.9","4.6","5.5","1.5","0.4","2.3","21.5","22.4","27","9.4","112.9","112.2"
"","Nikola Vucevic","Chi","","C","35.3","48","30.8","21.7","9.5","74","0.838","442","0.568","218","0.376","0.567","0.585","16.9","9","3.8","0.7","0.6","1.4","25.9","20.6","29.6","10.8","120.5","113"
"","Jalen Williams","Okc","*","G-F","24.8","24","29.6","25.5","12.3","84","0.833","276","0.507","60","0.3","0.497","0.542","16.8","4.8","5.6","1.3","0.4","2","21.6","22.5","27.2","10.4","112.6","103.9"
"","Saddiq Bey","Nor","*","G-F","26.8","47","30.5","20.8","4.8","188","0.846","346","0.523","253","0.348","0.523","0.576","16.7","5.8","2.5","1","0","0.6","22.5","19.2","25","8.2","126.3","119.9"
"","O.G. Anunoby","Nyk","*","F-G","28.6","41","33","20.2","14.5","145","0.8","269","0.572","230","0.37","0.564","0.603","16.6","5.5","2.4","1.7","0.7","2.1","22","18.9","24.4","7.3","117","109.1"
"","Stephon Castle","San","*","G","21.3","41","30.8","25.1","21.6","242","0.723","351","0.53","154","0.279","0.496","0.553","16.5","5","7","1.3","0.3","3.4","21.5","23.4","28.4","10.8","110.3","103.3"
"","Onyeka Okongwu","Atl","*","F-C","25.2","47","32","20.6","13.6","128","0.781","335","0.57","256","0.367","0.562","0.59","16.3","7.9","3.3","1.2","1","2","24.1","19.6","27.5","9.4","115.1","107"
"","Paul George","Phi","*","F","35.8","27","30.5","22.2","11","76","0.855","181","0.464","173","0.382","0.517","0.556","16","5.2","3.7","1.5","0.5","1.6","21.1","19.7","24.9","8.9","113.9","109.7"
"","Domantas Sabonis","Sac","*","F-C","29.8","19","29.7","23.2","18.7","77","0.727","194","0.593","27","0.185","0.554","0.59","15.8","11.4","4.1","0.9","0.2","2.7","27.2","19.9","31.3","12.2","116.5","107.5"
"","Anthony Black","Orl","*","G","22","50","31","22.2","15.1","187","0.743","384","0.526","240","0.346","0.523","0.561","15.8","4.1","4.1","1.3","0.7","2.2","19.9","19.9","24","8.3","109.9","109.4"
"","Andrew Wiggins","Mia","*","F","31","48","31.3","20.2","11.9","108","0.787","388","0.518","231","0.394","0.545","0.57","15.8","4.9","2.8","1.2","1","1.8","20.7","18.6","23.5","7.7","112.9","110.1"
"","Mikal Bridges","Nyk","*","G-F","29.4","52","34.5","17.3","7.8","62","0.806","362","0.588","292","0.39","0.587","0.6","15.7","4.1","4.1","1.5","0.8","1.1","19.9","19.8","24","7.4","128.5","113"
"","Cam Thomas","Bro","*","G","24.3","24","24.2","30.2","13.5","107","0.841","191","0.445","117","0.325","0.461","0.527","15.6","1.8","3.1","0.2","0.1","2","17.4","18.7","20.5","7.3","104.8","120.2"
"","Jaime Jaquez Jr.","Mia","*","G","25","48","28.8","22","15.4","151","0.748","491","0.56","90","0.289","0.54","0.572","15.4","5.4","4.7","0.8","0.2","2.2","20.9","20.1","25.6","10.2","113.4","109.7"
"","Russell Westbrook","Sac","*","G","37.2","50","29.4","25.7","20.5","141","0.702","358","0.497","294","0.344","0.505","0.531","15.2","5.8","6.6","1.4","0.2","3.4","20.9","21.8","27.5","11.4","104.5","114"
"","VJ Edgecombe","Phi","*","G","20.5","47","35.7","19","12.1","111","0.775","349","0.479","271","0.362","0.506","0.534","15.2","5.4","4.2","1.6","0.5","1.8","20.6","19.4","24.8","7.9","113.1","110.1"
"","Jaden McDaniels","Min","*","F","25.4","51","32.1","18.1","13.7","125","0.856","385","0.551","177","0.446","0.588","0.622","15.1","4.3","2.9","0.9","0.9","1.7","19.3","17.9","22.2","7.1","120.7","107.7"
"","Kyshawn George","Was","*","F","22.2","41","30.5","22.2","18.6","108","0.778","275","0.505","229","0.376","0.532","0.562","15.1","5.5","4.9","1.1","0.9","2.8","20.7","20","25.6","9.7","108","111.1"
"","Jabari Smith Jr.","Hou","*","F","22.7","49","34.8","17.9","9.6","126","0.762","309","0.518","304","0.355","0.525","0.554","15.1","6.8","1.9","0.8","1","1.3","21.9","17","23.8","6.7","118.7","109"
"","Guerschon Yabusele","Chi","*","F","30.1","1","33.2","15.2","8.3","0","0","5","0.6","6","0.5","0.682","0.682","15","11","3","2","0","1","26","18","29","9.5","141.8","111.6"
"","Ayo Dosunmu","Chi","*","G","26.1","45","26.4","21.1","11.1","105","0.857","293","0.556","193","0.451","0.604","0.636","15","3","3.6","0.8","0.3","1.4","18.1","18.7","21.7","8.3","124.6","116.4"
"","Matas Buzelis","Chi","*","F","21.3","52","28.3","21.5","13.9","148","0.777","308","0.578","282","0.365","0.564","0.595","15","5.3","2","0.6","1.4","1.8","20.3","17","22.3","7.7","111.2","112.7"
"","Peyton Watson","Den","*","G","23.4","49","30.6","20.3","13.9","176","0.727","352","0.537","180","0.417","0.567","0.6","14.9","4.9","2","1","1.2","1.8","19.8","16.9","21.8","6.9","113.1","112.3"
"","Naji Marshall","Dal","*","F","28","50","29.5","19","11.7","193","0.777","367","0.619","147","0.313","0.576","0.619","14.8","5","2.9","1","0.1","1.4","19.9","17.8","22.8","8.1","122.4","110.5"
"","Keegan Murray","Sac","*","F","25.5","19","35.9","18.6","7.8","38","0.789","167","0.515","92","0.272","0.477","0.502","14.6","6.1","1.5","1.2","1.6","1.2","20.7","16.1","22.2","5.7","104.2","118.9"
"","Jrue Holiday","Por","*","G","35.7","23","28","22.9","16.8","46","0.804","145","0.524","142","0.345","0.521","0.547","14.6","4.5","6.6","1.4","0.1","2.5","19.1","21.2","25.7","10.8","116.1","114"
"","Naz Reid","Min","*","C-F","26.5","53","26.4","22","12.4","80","0.75","272","0.566","338","0.393","0.58","0.594","14.5","6.4","2.5","1","0.9","1.6","20.8","17","23.3","9.3","115.8","105.2"
"","Jordan Poole","Nor","*","G","26.6","28","25.4","25.5","13.5","97","0.876","127","0.425","211","0.336","0.475","0.533","14.5","1.8","3.1","0.7","0.3","1.9","16.3","17.6","19.4","6.8","106.1","116.2"
"","Walker Kessler","Uta","*","C","24.5","5","30.8","16.6","30","20","0.7","29","0.69","8","0.75","0.784","0.786","14.4","10.8","3","1.4","1.8","3.2","25.2","17.4","28.2","10.1","130.3","108.6"
"","Ivica Zubac","Lac","*","C","28.9","43","30.9","19","16","132","0.705","429","0.613","0","0","0.613","0.635","14.4","11","2.2","0.4","0.8","1.9","25.4","16.6","27.6","9.1","126.4","109.6"
"","Devin Vassell","San","*","G-F","25.5","38","31.1","18.9","6.8","75","0.84","202","0.5","260","0.358","0.521","0.549","14.3","3.9","2.3","0.9","0.4","0.9","18.2","16.6","20.5","6.5","113.7","110.3"
"","Jalen Suggs","Orl","*","G","24.7","30","26.1","24.2","18.7","79","0.861","162","0.586","176","0.324","0.534","0.575","14.3","4","5.2","1.8","0.6","2.6","18.3","19.5","23.5","10.2","111.1","105.3"
"","P.J. Washington","Dal","*","F","27.5","36","30.9","21.2","14.8","116","0.664","293","0.519","143","0.301","0.497","0.524","14.2","7.1","1.9","1.1","1.4","2.1","21.3","16","23.2","7.5","100.4","108.2"
"","Anfernee Simons","Bos","","G","26.7","49","24.5","23.6","9","72","0.889","239","0.502","329","0.395","0.555","0.579","14.2","2.4","2.4","0.6","0.1","1.1","16.6","16.5","18.9","7.1","119.4","113.3"
"","Collin Sexton","Cha","*","G","27.1","42","22.3","25.6","17.7","154","0.877","269","0.539","145","0.393","0.557","0.619","14.2","1.9","3.7","0.9","0.2","2.1","16.1","17.9","19.8","8.3","119.5","111.4"
"","Ajay Mitchell","Okc","*","G","23.6","43","26.2","22.3","13","131","0.87","319","0.545","137","0.35","0.539","0.59","14.1","3.5","3.7","1.4","0.3","1.6","17.6","17.7","21.2","8.7","117.7","103.3"
"","De'Andre Hunter","Cle","","F-G","28.2","43","26.2","22.6","12.8","137","0.869","245","0.535","237","0.308","0.499","0.553","14","4.2","2.1","0.7","0.2","1.7","18.2","16","20.3","7.6","109","108.9"
"","Obi Toppin","Ind","*","F","27.9","3","27.4","23.7","14.1","9","1","19","0.632","17","0.176","0.458","0.526","14","6.7","1.7","1","0","2","20.7","15.7","22.3","7.9","100.2","109.9"
"","Santi Aldama","Mem","*","F-C","25.1","43","27.9","20","10.4","114","0.667","276","0.572","200","0.35","0.553","0.572","14","6.7","2.9","0.9","0.7","1.3","20.7","16.9","23.6","9.3","117.4","111.7"
"","Kelly Oubre Jr.","Phi","*","F-G","30.2","29","32.4","17","10.5","78","0.744","167","0.575","141","0.369","0.565","0.593","14","4.6","1.5","1.2","0.6","1.2","18.6","15.5","20.1","5.7","116.5","111.1"
"","Jaylon Tyson","Cle","*","G-F","23.2","47","27.9","18.7","13.1","76","0.737","277","0.549","208","0.481","0.623","0.637","14","5.4","2.4","0.9","0.4","1.6","19.5","16.4","21.9","8.1","123.8","109"
"","Tim Hardaway Jr.","Den","*","G-F","33.9","51","27.5","18.4","4.5","117","0.889","157","0.535","356","0.407","0.588","0.626","13.9","2.6","1.4","0.5","0.2","0.5","16.5","15.2","17.9","5.4","125.6","118.5"
"","Aaron Nesmith","Ind","*","G-F","26.3","30","30.6","20.1","11","81","0.815","156","0.41","200","0.37","0.492","0.531","13.9","4.8","2.2","0.7","0.5","1.5","18.6","16.1","20.9","6.9","106.9","113.2"
"","Jarrett Allen","Cle","*","C","27.8","40","27","18.7","13.4","157","0.745","353","0.618","9","0.111","0.606","0.645","13.9","8.1","2.1","1.1","0.9","1.4","22","16","24.1","9.2","128.9","108.9"
